# probe_name     : rest
# profile        : max-debug
# profile_type   : debug
# arm            : right
# kind           : baseline
# recorded_utc   : 2026-08-08T06:41:14.372Z
# duration_s     : 5.000
# sample_rate_hz : 1000
# n_samples      : 5000
# channels       : ulnar, median, radial
# value_range    : -1..+1  (Companion raw SNC)
# notes          : session baseline (recorded via header button)
# effort         : easy
# fatigue        : none
# schema         : armband/probe/1
t_ms,ulnar,median,radial
230,-0.02780,-0.13419,-0.16821
231,0.05695,-0.09595,-0.13739
232,0.12378,-0.05432,-0.08231
233,0.14340,-0.01172,-0.03061
234,0.10992,0.02295,-0.00534
235,0.03915,0.03259,-0.01053
236,-0.04218,0.00500,-0.03149
237,-0.10632,-0.04996,-0.04825
238,-0.12988,-0.09695,-0.04736
239,-0.10052,-0.09409,-0.02356
240,-0.02731,-0.02545,0.02332
241,0.05334,0.07736,0.08505
242,0.08932,0.14645,0.13852
243,0.04404,0.12225,0.15201
244,-0.07187,0.00220,0.10953
245,-0.19662,-0.14709,0.03366
246,-0.25366,-0.23221,-0.02271
247,-0.20474,-0.20206,-0.01810
248,-0.07791,-0.08685,0.03821
249,0.05740,0.02960,0.09140
250,0.14795,0.08200,0.09067
251,0.19547,0.07501,0.03653
252,0.23904,0.06549,-0.02145
253,0.29776,0.09384,-0.03659
254,0.33237,0.13397,-0.01352
255,0.27155,0.11462,-0.00415
256,0.08432,-0.00632,-0.05331
257,-0.16907,-0.18719,-0.14774
258,-0.36353,-0.32373,-0.21982
259,-0.39798,-0.32983,-0.20535
260,-0.27194,-0.20538,-0.10281
261,-0.08359,-0.03207,0.02057
262,0.04846,0.09399,0.08163
263,0.07166,0.13058,0.04730
264,0.02390,0.10382,-0.04254
265,-0.01517,0.06732,-0.11230
266,0.00400,0.05228,-0.11224
267,0.06802,0.05112,-0.05197
268,0.12506,0.03967,0.01801
269,0.13428,0.00787,0.05304
270,0.09390,-0.03165,0.04556
271,0.03116,-0.05902,0.01807
272,-0.02615,-0.06686,-0.00555
273,-0.06534,-0.06226,-0.01740
274,-0.08347,-0.05225,-0.01837
275,-0.07605,-0.03113,-0.00412
276,-0.03900,0.01337,0.03149
277,0.01749,0.07895,0.07751
278,0.06317,0.13513,0.09869
279,0.06311,0.13654,0.05939
280,0.00534,0.05771,-0.03778
281,-0.08551,-0.07935,-0.14026
282,-0.16412,-0.21243,-0.18134
283,-0.19772,-0.28021,-0.13611
284,-0.18741,-0.26413,-0.04440
285,-0.15915,-0.19626,0.02371
286,-0.13486,-0.12766,0.02844
287,-0.11234,-0.08765,-0.01056
288,-0.07288,-0.06921,-0.04095
289,-0.00711,-0.04868,-0.02954
290,0.06827,-0.01495,0.01254
291,0.11996,0.02158,0.04956
292,0.12509,0.04413,0.05777
293,0.08923,0.04727,0.03989
294,0.03894,0.03729,0.01065
295,-0.00214,0.01889,-0.02145
296,-0.02899,-0.01132,-0.05338
297,-0.04941,-0.05441,-0.07544
298,-0.06619,-0.09601,-0.07062
299,-0.06985,-0.11050,-0.03159
300,-0.05078,-0.08398,0.02451
301,-0.01602,-0.03201,0.06451
302,0.01102,0.00967,0.06619
303,0.01178,0.01562,0.03607
304,-0.00665,-0.00662,0.00073
305,-0.01419,-0.02451,-0.01767
306,0.01535,-0.01035,-0.01596
307,0.07907,0.03656,-0.00336
308,0.14630,0.09476,0.01395
309,0.18555,0.14282,0.03760
310,0.18958,0.17297,0.06839
311,0.17508,0.18481,0.09738
312,0.15927,0.17282,0.10846
313,0.14087,0.12775,0.08957
314,0.10580,0.05365,0.04236
315,0.05121,-0.02097,-0.01706
316,-0.00034,-0.05643,-0.06393
317,-0.01492,-0.03281,-0.07443
318,0.02164,0.03046,-0.03683
319,0.08682,0.08826,0.03922
320,0.13745,0.10675,0.12262
321,0.14441,0.08914,0.17444
322,0.11322,0.06540,0.16953
323,0.07150,0.05765,0.11066
324,0.03967,0.05768,0.02612
325,0.01718,0.04202,-0.04608
326,-0.00281,0.00787,-0.07562
327,-0.01184,-0.01053,-0.05020
328,0.01245,0.02988,0.02103
329,0.07913,0.13211,0.10980
330,0.16129,0.23944,0.17889
331,0.20865,0.27176,0.20114
332,0.18839,0.19046,0.17615
333,0.11441,0.03418,0.13049
334,0.03433,-0.10913,0.09573
335,-0.01373,-0.16931,0.08109
336,-0.03098,-0.14185,0.06558
337,-0.04651,-0.07852,0.01968
338,-0.07980,-0.03714,-0.06195
339,-0.11783,-0.03806,-0.14667
340,-0.12906,-0.06122,-0.18402
341,-0.09686,-0.07495,-0.14398
342,-0.03616,-0.06320,-0.04160
343,0.02094,-0.03033,0.07159
344,0.05350,0.01031,0.14084
345,0.06458,0.04532,0.13986
346,0.06943,0.06122,0.07971
347,0.07495,0.04507,-0.00555
348,0.07294,-0.00638,-0.08124
349,0.05215,-0.07587,-0.12610
350,0.01556,-0.12790,-0.13470
351,-0.01639,-0.12988,-0.11334
352,-0.02130,-0.07709,-0.07574
353,0.00415,0.00012,-0.04001
354,0.03659,0.05447,-0.02310
355,0.04160,0.05319,-0.03296
356,0.00183,-0.00153,-0.06235
357,-0.06558,-0.07669,-0.09119
358,-0.12054,-0.13266,-0.09860
359,-0.13208,-0.14828,-0.07785
360,-0.10330,-0.12885,-0.04245
361,-0.06497,-0.09360,-0.01694
362,-0.04340,-0.05557,-0.01685
363,-0.03406,-0.01263,-0.03387
364,-0.00903,0.04257,-0.04047
365,0.04993,0.10333,-0.01285
366,0.12589,0.14209,0.04523
367,0.17664,0.12723,0.10004
368,0.17017,0.05228,0.11212
369,0.11169,-0.04977,0.06842
370,0.03824,-0.12430,-0.00482
371,-0.01065,-0.13379,-0.06104
372,-0.01730,-0.08481,-0.06830
373,0.01208,-0.01981,-0.03079
374,0.06055,0.01938,0.02081
375,0.11209,0.02289,0.05795
376,0.15350,0.01334,0.07462
377,0.17307,0.01788,0.08148
378,0.16238,0.04068,0.08420
379,0.12149,0.06116,0.07181
380,0.06055,0.05664,0.02939
381,-0.00302,0.02582,-0.03818
382,-0.05051,-0.00946,-0.09879
383,-0.06842,-0.02359,-0.11401
384,-0.05460,-0.00851,-0.07147
385,-0.02081,0.02188,0.00217
386,0.01245,0.04657,0.06113
387,0.02951,0.05502,0.07520
388,0.03079,0.05203,0.04892
389,0.03027,0.04678,0.01083
390,0.03949,0.04010,-0.01297
391,0.05350,0.02402,-0.01550
392,0.05551,-0.00500,-0.00427
393,0.03732,-0.03391,0.01239
394,0.01392,-0.03769,0.03168
395,0.01324,-0.00168,0.05084
396,0.04724,0.05893,0.06076
397,0.09222,0.10254,0.04898
398,0.10110,0.08984,0.00958
399,0.04175,0.01437,-0.05063
400,-0.07175,-0.09186,-0.11667
401,-0.18301,-0.18222,-0.17407
402,-0.23206,-0.22751,-0.21338
403,-0.19827,-0.22870,-0.22742
404,-0.11423,-0.20404,-0.20892
405,-0.04077,-0.16864,-0.15405
406,-0.02322,-0.12680,-0.06949
407,-0.06192,-0.07910,0.02524
408,-0.11703,-0.03043,0.10443
409,-0.14197,0.01205,0.14700
410,-0.11929,0.04483,0.14343
411,-0.07150,0.06750,0.09753
412,-0.03912,0.07602,0.02579
413,-0.04343,0.06332,-0.04428
414,-0.06494,0.03305,-0.08099
415,-0.05698,0.01120,-0.06381
416,0.01508,0.03491,0.00015
417,0.13977,0.11789,0.07352
418,0.26004,0.22360,0.10706
419,0.30884,0.27899,0.06955
420,0.25375,0.22702,-0.03177
421,0.11780,0.07635,-0.15442
422,-0.03616,-0.09781,-0.24353
